Protocol,Compounds,InputFields,Iterations,NumPending,Hour,Day,Class
E,997,137,20,0,14,Tue,F
E,97,103,20,0,13.81666667,Tue,VF
E,101,75,10,0,13.85,Thu,VF
E,93,76,20,0,10.1,Fri,VF
E,100,82,20,0,10.36666667,Fri,VF
E,100,82,20,0,16.53333333,Wed,VF
E,105,88,20,0,16.4,Fri,VF
E,98,95,20,0,16.73333333,Fri,VF
E,101,91,20,0,16.18333333,Fri,VF
E,95,92,20,0,10.78333333,Wed,VF
E,102,96,20,0,9.966666667,Fri,VF
E,108,104,10,0,11.48333333,Wed,VF
E,98,99,10,0,10.43333333,Fri,VF
E,102,99,20,0,16.75,Thu,VF
E,108,99,20,0,16.36666667,Thu,VF
E,128,111,20,0,16.48333333,Fri,VF
E,121,118,20,0,16.76666667,Fri,VF
E,132,2320,11,0,15.13333333,Fri,VF
E,141,139,20,0,16.26666667,Fri,VF
E,147,137,20,0,18.71666667,Tue,VF
E,147,72,20,0,4.65,Fri,VF
E,150,81,20,0,5.266666667,Fri,VF
E,1501,137,20,0,14.1,Tue,F
E,154,114,20,0,10.16666667,Fri,VF
E,149,111,20,0,10.86666667,Wed,VF
E,145,112,20,0,16.6,Wed,VF
E,155,116,20,0,10.43333333,Fri,VF
E,157,112,20,0,10,Fri,VF
E,154,76,20,0,20.86666667,Mon,VF
E,157,157,20,0,17.93333333,Tue,VF
E,173,166,20,0,13.81666667,Thu,VF
E,180,173,20,0,15.81666667,Thu,VF
E,171,174,20,0,14.45,Thu,VF
E,236,224,20,0,11.21666667,Fri,VF
E,233,861,10,0,17.7,Fri,VF
E,29,25,20,0,9.95,Thu,VF
E,231,127,20,0,10.48333333,Fri,VF
E,239,141,20,0,15.73333333,Fri,VF
E,244,210,20,0,15.91666667,Fri,F
E,231,221,20,0,11.3,Fri,VF
E,234,32,20,0,11.38333333,Fri,VF
E,250,19,20,0,11.4,Fri,VF
E,249,31,20,0,11.46666667,Fri,VF
E,250,95,20,0,10.73333333,Fri,VF
E,256,69,10,0,14.61666667,Fri,VF
E,25,15,20,0,16.3,Fri,VF
E,30,19,20,0,10.21666667,Fri,VF
E,32,17,20,0,16.45,Wed,VF
E,21,19,20,0,16.1,Fri,VF
E,22,26,20,0,17.23333333,Tue,VF
E,23,22,20,0,9.233333333,Wed,VF
E,21,23,20,0,9.9,Fri,VF
E,21,24,20,0,10.66666667,Wed,VF
E,24,24,20,0,10.15,Wed,VF
E,308,289,20,0,15.5,Fri,F
E,303,299,20,0,16,Fri,F
E,300,299,20,0,14.5,Fri,F
E,302,299,20,0,14.65,Fri,F
E,328,35,20,0,13.78333333,Mon,VF
E,35,33,20,0,13.88333333,Tue,VF
E,39,35,20,0,10.65,Tue,VF
E,410,33,20,0,10.55,Thu,VF
E,55,48,20,0,10.46666667,Fri,VF
E,50,45,20,0,11.95,Fri,VF
E,47,43,20,0,12.21666667,Fri,VF
E,498,141,20,0,13.93333333,Tue,F
E,50,38,20,0,10.28333333,Fri,VF
E,50,45,20,0,16.33333333,Fri,VF
E,46,42,20,0,10.06666667,Fri,VF
E,54,47,20,0,16.18333333,Wed,VF
E,49,44,20,0,16.13333333,Fri,VF
E,48,50,20,0,16.58333333,Fri,VF
E,52,51,20,0,17.25,Tue,VF
E,60,45,20,0,13.13333333,Wed,VF
E,563,155,20,0,13.51666667,Mon,F
E,61,53,20,0,11.58333333,Tue,VF
E,65,60,20,0,9.35,Wed,VF
E,69,62,20,0,15.15,Wed,VF
E,70,60,20,0,10.08333333,Mon,VF
E,63,71,20,0,14.11666667,Wed,VF
E,74,70,20,0,21.65,Wed,VF
