cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,w/c,age_c,age_f,age_class_1,age_class_2,age_class_3,csMPa
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,0.3,class_2,2,0,1,0,79.99
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,0.3,class_2,2,0,1,0,61.89
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,0.6857142857142857,class_3,3,0,0,1,40.27
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,0.6857142857142857,class_3,3,0,0,1,41.05
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,0.9667673716012085,class_3,3,0,0,1,44.3
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,0.8571428571428571,class_3,3,0,0,1,47.03
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,0.6,class_3,3,0,0,1,43.7
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,0.6,class_2,2,0,1,0,36.45
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,0.8571428571428571,class_2,2,0,1,0,45.85
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,0.48,class_2,2,0,1,0,39.29
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,0.9667673716012085,class_3,3,0,0,1,38.07
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,0.9667673716012085,class_2,2,0,1,0,28.02
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,0.5333333333333333,class_3,3,0,0,1,43.01
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,1.2,class_3,3,0,0,1,42.33
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,0.75,class_2,2,0,1,0,47.81
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,0.6,class_3,3,0,0,1,52.91
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,1.3753581661891119,class_3,3,0,0,1,39.36
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,0.6666666666666666,class_3,3,0,0,1,56.14
